company_name,ticker,country,meeting_date,meeting_id,meeting_type,proposal_number,proposal_text,proponent,management_rec,nbim_vote,position_paper,rationale_text,esg_category_paper,esg_category_detailed,esg_category
boston scientific corp,BSX,United States,2020-05-07 00:00:00,1411873,Annual,1g,Elect Director Michael F. Mahoney,Management,For,Withhold,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
unicredit spa,UCG,Italy,2021-04-15 00:00:00,1494171,Annual/Special,8.1,Slate 1 Submitted by Management,Management,For,Against,Position paper: Board independence,"The board should guide company strategy and monitor management performance without conflicts of interest. A majority of shareholder-elected board members in a non-controlled company should be independent of management, dominant shareholders, and related third parties. In a majority-controlled company, at least a third of board members should be independent.",G,,G
rtx corp,RTX,United States,2025-05-01 00:00:00,1937757,Annual,1b,Elect Director Christopher T. Calio,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
rtx corp,RTX,United States,2025-05-01 00:00:00,1937757,Annual,4,Report on Lobbying Payments and Policy,Shareholder,Against,For,Position paper: Corporate sustainability reporting,"The board should account for material sustainability risks facing the company, and the broader environmental and social consequences of its operations and products. Sustainability disclosures should be aligned with applicable global reporting standards and frameworks to support investors in their analysis of risks and opportunities. Where a company’s disclosure does not meet our needs as a financial investor, we will consider supporting a well-founded shareholder proposal calling for reasonable disclosure. We will not support a shareholder proposal that appears to impose a strategy or prescribe detailed methods, unrealistic timeframes or targets for implementation.",ESG_mixed,G,G
rtx corp,RTX,United States,2024-05-02 00:00:00,1832448,Annual,2,Advisory Vote to Ratify Named Executive Officers' Compensation,Management,For,Against,Position paper: CEO remuneration,"The board is responsible for attracting the right CEO and setting appropriate remuneration. A substantial proportion of annual remuneration should be provided as shares that are locked in for five to ten years, regardless of resignation or retirement. The board should provide transparency on total remuneration to avoid unacceptable outcomes. The board should ensure that all benefits have a clear business rationale. Pensionable income should constitute a minor part of total remuneration.",G,,G
rtx corp,RTX,United States,2024-05-02 00:00:00,1832448,Annual,5,Report on Lobbying Payments and Policy,Shareholder,Against,For,Position paper: Corporate sustainability reporting,"The board should account for material sustainability risks facing the company, and the broader environmental and social consequences of its operations and products. Sustainability disclosures should be aligned with applicable global reporting standards and frameworks to support investors in their analysis of risks and opportunities. Where a company’s disclosure does not meet our needs as a financial investor, we will consider supporting a well-founded shareholder proposal calling for reasonable disclosure. We will not support a shareholder proposal that appears to impose a strategy or prescribe detailed methods, unrealistic timeframes or targets for implementation.",ESG_mixed,G,G
rtx corp,RTX,United States,2024-05-02 00:00:00,1832448,Annual,6,Report on Efforts to Reduce GHG Emissions in Alignment with Paris Agreement Goal,Shareholder,Against,For,Position paper: Corporate sustainability reporting,"The board should account for material sustainability risks facing the company, and the broader environmental and social consequences of its operations and products. Sustainability disclosures should be aligned with applicable global reporting standards and frameworks to support investors in their analysis of risks and opportunities. Where a company’s disclosure does not meet our needs as a financial investor, we will consider supporting a well-founded shareholder proposal calling for reasonable disclosure. We will not support a shareholder proposal that appears to impose a strategy or prescribe detailed methods, unrealistic timeframes or targets for implementation.",ESG_mixed,E,E
rtx corp,RTX,United States,2023-05-02 00:00:00,1727938,Annual,1d,Elect Director Gregory J. Hayes,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
rtx corp,RTX,United States,2023-05-02 00:00:00,1727938,Annual,2,Advisory Vote to Ratify Named Executive Officers' Compensation,Management,For,Against,Position paper: CEO remuneration,"The board is responsible for attracting the right CEO and setting appropriate remuneration. A substantial proportion of annual remuneration should be provided as shares that are locked in for five to ten years, regardless of resignation or retirement. The board should provide transparency on total remuneration to avoid unacceptable outcomes. The board should ensure that all benefits have a clear business rationale. Pensionable income should constitute a minor part of total remuneration.",G,,G
rtx corp,RTX,United States,2023-05-02 00:00:00,1727938,Annual,7,Require Independent Board Chair,Shareholder,Against,For,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
rtx corp,RTX,United States,2023-05-02 00:00:00,1727938,Annual,8,Report on Efforts to Reduce GHG Emissions in Alignment with Paris Agreement Goal,Shareholder,Against,For,Position paper: Corporate sustainability reporting,"The board should account for material sustainability risks facing the company, and the broader environmental and social consequences of its operations and products. Sustainability disclosures should be aligned with applicable global reporting standards and frameworks to support investors in their analysis of risks and opportunities. Where a company’s disclosure does not meet our needs as a financial investor, we will consider supporting a well-founded shareholder proposal calling for reasonable disclosure. We will not support a shareholder proposal that appears to impose a strategy or prescribe detailed methods, unrealistic timeframes or targets for implementation.",ESG_mixed,E,E
rtx corp,RTX,United States,2022-04-25 00:00:00,1620456,Annual,1c,Elect Director Gregory J. Hayes,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
s&p global inc,WSP,Canada,2023-05-11 00:00:00,1721663,Annual/Special,1.2,Elect Director Christopher Cole,Management,For,Against,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.,G,,G
s&p global inc,WSP,Canada,2022-05-12 00:00:00,1615321,Annual,1.2,Elect Director Christopher Cole,Management,For,Withhold,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.,G,,G
s&p global inc,WSP,Canada,2021-05-13 00:00:00,1512240,Annual,1.2,Elect Director Christopher Cole,Management,For,Withhold,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.,G,,G
s&p global inc,WSP,Canada,2020-05-07 00:00:00,1407620,Annual,1.2,Elect Director Christopher Cole,Management,For,Withhold,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.,G,,G
sea ltd,SE,Cayman Islands,2022-02-14 00:00:00,1600654,Annual,1,Amend Articles of Association,Management,For,Against,Position paper: Multiple share classes,"All shareholders should have the right to vote on fundamental corporate decisions, and voting rights should be proportionate to cash flow rights. Any unequal voting rights should be time-limited and aligned with cash flow rights over time.",G,,G
stryker corp,SYK,United States,2025-05-08 00:00:00,1944980,Annual,1c,Elect Director Kevin A. Lobo,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
stryker corp,SYK,United States,2025-05-08 00:00:00,1944980,Annual,7,Report on Political Contributions and Expenditures,Shareholder,Against,For,Position paper: Corporate sustainability reporting,"The board should account for material sustainability risks facing the company, and the broader environmental and social consequences of its operations and products. Sustainability disclosures should be aligned with applicable global reporting standards and frameworks to support investors in their analysis of risks and opportunities. Where a company’s disclosure does not meet our needs as a financial investor, we will consider supporting a well-founded shareholder proposal calling for reasonable disclosure. We will not support a shareholder proposal that appears to impose a strategy or prescribe detailed methods, unrealistic timeframes or targets for implementation.",ESG_mixed,G,G
stryker corp,SYK,United States,2024-05-09 00:00:00,1839559,Annual,1d,Elect Director Kevin A. Lobo,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
stryker corp,SYK,United States,2024-05-09 00:00:00,1839559,Annual,4,Report on Political Contributions and Expenditures,Shareholder,Against,For,Position paper: Corporate sustainability reporting,"The board should account for material sustainability risks facing the company, and the broader environmental and social consequences of its operations and products. Sustainability disclosures should be aligned with applicable global reporting standards and frameworks to support investors in their analysis of risks and opportunities. Where a company’s disclosure does not meet our needs as a financial investor, we will consider supporting a well-founded shareholder proposal calling for reasonable disclosure. We will not support a shareholder proposal that appears to impose a strategy or prescribe detailed methods, unrealistic timeframes or targets for implementation.",ESG_mixed,G,G
stryker corp,SYK,United States,2023-05-10 00:00:00,1735461,Annual,1e,Elect Director Kevin A. Lobo,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
stryker corp,SYK,United States,2023-05-10 00:00:00,1735461,Annual,5,Report on Political Contributions and Expenditures,Shareholder,Against,For,Position paper: Corporate sustainability reporting,"The board should account for material sustainability risks facing the company, and the broader environmental and social consequences of its operations and products. Sustainability disclosures should be aligned with applicable global reporting standards and frameworks to support investors in their analysis of risks and opportunities. Where a company’s disclosure does not meet our needs as a financial investor, we will consider supporting a well-founded shareholder proposal calling for reasonable disclosure. We will not support a shareholder proposal that appears to impose a strategy or prescribe detailed methods, unrealistic timeframes or targets for implementation.",ESG_mixed,G,G
stryker corp,SYK,United States,2022-05-04 00:00:00,1624602,Annual,1e,Elect Director Kevin A. Lobo,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
stryker corp,SYK,United States,2021-05-05 00:00:00,1521427,Annual,1e,Elect Director Kevin A. Lobo,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
stryker corp,SYK,United States,2021-05-05 00:00:00,1521427,Annual,1f,Elect Director Sherilyn S. McCoy,Management,For,Against,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.,G,,G
stryker corp,SYK,United States,2020-05-05 00:00:00,1411146,Annual,1e,Elect Director Kevin A. Lobo,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
lam research corp,LRCX,United States,2025-11-04 00:00:00,2010877,Annual,1k,Elect Director Abhijit Y. Talwalkar,Management,For,Against,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.,G,,G
lam research corp,LRCX,United States,2024-11-05 00:00:00,1900446,Annual,1k,Elect Director Abhijit Y. Talwalkar,Management,For,Against,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.,G,,G
lam research corp,LRCX,United States,2024-11-05 00:00:00,1900446,Annual,2,Advisory Vote to Ratify Named Executive Officers' Compensation,Management,For,Against,Position paper: CEO remuneration,"The board is responsible for attracting the right CEO and setting appropriate remuneration. A substantial proportion of annual remuneration should be provided as shares that are locked in for five to ten years, regardless of resignation or retirement. The board should provide transparency on total remuneration to avoid unacceptable outcomes. The board should ensure that all benefits have a clear business rationale. Pensionable income should constitute a minor part of total remuneration.",G,,G
lam research corp,LRCX,United States,2023-11-07 00:00:00,1793782,Annual,1i,Elect Director Abhijit Y. Talwalkar,Management,For,Against,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.,G,,G
lam research corp,LRCX,United States,2022-11-08 00:00:00,1687830,Annual,1g,Elect Director Abhijit Y. Talwalkar,Management,For,Against,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.,G,,G
lam research corp,LRCX,United States,2021-11-08 00:00:00,1581247,Annual,1.7,Elect Director Abhijit Y. Talwalkar,Management,For,Withhold,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.,G,,G
lam research corp,LRCX,United States,2020-11-03 00:00:00,1472923,Annual,1.7,Elect Director Abhijit Y. Talwalkar,Management,For,Withhold,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.,G,,G
atlas copco ab,ATCO.A,Sweden,2024-04-24 00:00:00,1824716,Annual,10.a2,Reelect Johan Forssell as Director,Management,For,Against,Position paper: Board independence,"Board decisions that are particularly vulnerable to conflicts of interest should have additional safeguards. Management should not serve on the audit or remuneration committees. The audit committee should have a majority of independent, shareholder-elected members.",G,,G
atlas copco ab,ATCO.A,Sweden,2024-04-24 00:00:00,1824716,Annual,10.a4,Reelect Anna Ohlsson-Leijon as Director,Management,For,Against,Position paper: Board independence,"Board decisions that are particularly vulnerable to conflicts of interest should have additional safeguards. Management should not serve on the audit or remuneration committees. The audit committee should have a majority of independent, shareholder-elected members.",G,,G
atlas copco ab,ATCO.A,Sweden,2024-04-24 00:00:00,1824716,Annual,10.a6,Reelect Hans Straberg as Director,Management,For,Against,Position paper: Board independence,"Board decisions that are particularly vulnerable to conflicts of interest should have additional safeguards. Management should not serve on the audit or remuneration committees. The audit committee should have a majority of independent, shareholder-elected members.",G,,G
atlas copco ab,ATCO.A,Sweden,2024-04-24 00:00:00,1824716,Annual,10.c,Reelect Hans Straberg as Board Chair,Management,For,Against,Position paper: Board independence,"Board decisions that are particularly vulnerable to conflicts of interest should have additional safeguards. Management should not serve on the audit or remuneration committees. The audit committee should have a majority of independent, shareholder-elected members.",G,,G
atlas copco ab,ATCO.A,Sweden,2023-04-27 00:00:00,1720400,Annual,10.a1,Reelect Johan Forssell as Director,Management,For,Against,Position paper: Board independence,"Board decisions that are particularly vulnerable to conflicts of interest should have additional safeguards. Management should not serve on the audit or remuneration committees. The audit committee should have a majority of independent, shareholder-elected members.",G,,G
atlas copco ab,ATCO.A,Sweden,2023-04-27 00:00:00,1720400,Annual,10.a6,Reelect Hans Straberg as Director,Management,For,Against,Position paper: Board independence,"Board decisions that are particularly vulnerable to conflicts of interest should have additional safeguards. Management should not serve on the audit or remuneration committees. The audit committee should have a majority of independent, shareholder-elected members.",G,,G
atlas copco ab,ATCO.A,Sweden,2023-04-27 00:00:00,1720400,Annual,10.c,Reelect Hans Straberg as Board Chair,Management,For,Against,Position paper: Board independence,"Board decisions that are particularly vulnerable to conflicts of interest should have additional safeguards. Management should not serve on the audit or remuneration committees. The audit committee should have a majority of independent, shareholder-elected members.",G,,G
atlas copco ab,ATCO.A,Sweden,2022-04-26 00:00:00,1623675,Annual,10.a6,Reelect Hans Straberg as Director,Management,For,Against,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.,G,,G
atlas copco ab,ATCO.A,Sweden,2022-04-26 00:00:00,1623675,Annual,10.c,Reelect Hans Straberg as Board Chair,Management,For,Against,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.,G,,G
atlas copco ab,ATCO.A,Sweden,2021-04-27 00:00:00,1477446,Annual,11.a,Approve Remuneration Report,Management,For,Against,Position paper: CEO remuneration,"The board is responsible for attracting the right CEO and setting appropriate remuneration. A substantial proportion of annual remuneration should be provided as shares that are locked in for five to ten years, regardless of resignation or retirement. The board should provide transparency on total remuneration to avoid unacceptable outcomes. The board should ensure that all benefits have a clear business rationale. Pensionable income should constitute a minor part of total remuneration.",G,,G
atlas copco ab,ATCO.A,Sweden,2020-04-23 00:00:00,1408572,Annual,10.a,"Reelect Staffan Bohman, Tina Donikowski, Johan Forssell, Sabine Neuss, Mats Rahmstrom, Hans Straberg and Peter Wallenberg Jr as Directors; Elect Anna
Ohlsson-Leijon and Gordon Riske as New Directors",Management,For,Against,Position paper: Board independence,"Board decisions that are particularly vulnerable to conflicts of interest should have additional safeguards. Management should not serve on the audit or remuneration committees. The audit committee should have a majority of independent, shareholder-elected members.",G,,G
essilorluxottica sa,EL,France,2024-04-30 00:00:00,1833625,Annual/Special,9,Approve Remuneration Policy of Chairman and CEO,Management,For,Against,Position paper: CEO remuneration,"The board is responsible for attracting the right CEO and setting appropriate remuneration. A substantial proportion of annual remuneration should be provided as shares that are locked in for five to ten years, regardless of resignation or retirement. The board should provide transparency on total remuneration to avoid unacceptable outcomes. The board should ensure that all benefits have a clear business rationale. Pensionable income should constitute a minor part of total remuneration.",G,,G
essilorluxottica sa,EL,France,2024-04-30 00:00:00,1833625,Annual/Special,11,Elect Francesco Milleri as Director,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
essilorluxottica sa,EL,France,2024-04-30 00:00:00,1833625,Annual/Special,13,Elect Romolo Bardin as Director,Management,For,Against,Position paper: CEO remuneration,"Shareholders should have the right to seek changes to the board when it does not act in their best interest. We will consider whether the board has failed to act on material requests from shareholders, sought to circumvent shareholder proposals or implemented governance changes limiting shareholders’ rights without their approval. When voting on a proposal to discharge the board of responsibilities, we will consider whether any information raises reasonable doubt about the board’s actions. We will also take into considerations unsatisfactory financial and strategic performance, mismanaged risk-taking, unacceptable treatment of stakeholders or undesired environmental or social outcomes from company operations.",G,,G
essilorluxottica sa,EL,France,2024-04-30 00:00:00,1833625,Annual/Special,16,Elect Jose Gonzalo as Director,Management,For,Against,Position paper: CEO remuneration,"Shareholders should have the right to seek changes to the board when it does not act in their best interest. We will consider whether the board has failed to act on material requests from shareholders, sought to circumvent shareholder proposals or implemented governance changes limiting shareholders’ rights without their approval. When voting on a proposal to discharge the board of responsibilities, we will consider whether any information raises reasonable doubt about the board’s actions. We will also take into considerations unsatisfactory financial and strategic performance, mismanaged risk-taking, unacceptable treatment of stakeholders or undesired environmental or social outcomes from company operations.",G,,G
essilorluxottica sa,EL,France,2024-04-30 00:00:00,1833625,Annual/Special,22,Elect Andrea Zappia as Director,Management,For,Against,Position paper: CEO remuneration,"Shareholders should have the right to seek changes to the board when it does not act in their best interest. We will consider whether the board has failed to act on material requests from shareholders, sought to circumvent shareholder proposals or implemented governance changes limiting shareholders’ rights without their approval. When voting on a proposal to discharge the board of responsibilities, we will consider whether any information raises reasonable doubt about the board’s actions. We will also take into considerations unsatisfactory financial and strategic performance, mismanaged risk-taking, unacceptable treatment of stakeholders or undesired environmental or social outcomes from company operations.",G,,G
essilorluxottica sa,EL,France,2023-05-17 00:00:00,1729031,Annual/Special,11,Approve Remuneration Policy of Chairman and CEO,Management,For,Against,Position paper: CEO remuneration,"The board is responsible for attracting the right CEO and setting appropriate remuneration. A substantial proportion of annual remuneration should be provided as shares that are locked in for five to ten years, regardless of resignation or retirement. The board should provide transparency on total remuneration to avoid unacceptable outcomes. The board should ensure that all benefits have a clear business rationale. Pensionable income should constitute a minor part of total remuneration.",G,,G
essilorluxottica sa,EL,France,2021-05-21 00:00:00,1522382,Annual/Special,9,"Approve Remuneration Policy of Corporate Officers, Since the General Assembly",Management,For,Against,Position paper: CEO remuneration,"The board is responsible for attracting the right CEO and setting appropriate remuneration. A substantial proportion of annual remuneration should be provided as shares that are locked in for five to ten years, regardless of resignation or retirement. The board should provide transparency on total remuneration to avoid unacceptable outcomes. The board should ensure that all benefits have a clear business rationale. Pensionable income should constitute a minor part of total remuneration.",G,,G
essilorluxottica sa,EL,France,2021-05-21 00:00:00,1522382,Annual/Special,20,Reelect Romolo Bardin as Director,Management,For,Against,Position paper: Board independence,"Board decisions that are particularly vulnerable to conflicts of interest should have additional safeguards. Management should not serve on the audit or remuneration committees. The audit committee should have a majority of independent, shareholder-elected members.",G,,G
essilorluxottica sa,EL,France,2021-05-21 00:00:00,1522382,Annual/Special,25,Elect Jean-Luc Biamonti as Director,Management,For,Against,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.,G,,G
essilorluxottica sa,EL,France,2020-06-25 00:00:00,1396067,Annual/Special,6,Approve Auditors' Special Report on Related-Party Transactions,Management,For,Against,Position paper: Related-party transaction,"Transactions between related parties should be avoided unless they are demonstrably beneficial to all shareholders. The board should disclose the name and affiliation of each party involved, value and cost of the transaction, and business rationale.",G,,G
london stock exchange group plc,LSEG,United Kingdom,2025-05-01 00:00:00,1946123,Annual,3,Approve Remuneration Report,Management,For,Against,Position paper: CEO remuneration,"The board is responsible for attracting the right CEO and setting appropriate remuneration. A substantial proportion of annual remuneration should be provided as shares that are locked in for five to ten years, regardless of resignation or retirement. The board should provide transparency on total remuneration to avoid unacceptable outcomes. The board should ensure that all benefits have a clear business rationale. Pensionable income should constitute a minor part of total remuneration.",G,,G
shopify inc,SHOP,Canada,2025-06-17 00:00:00,1945716,Annual,3,Advisory Vote on Executive Compensation Approach,Management,For,Against,Position paper: CEO remuneration,"The board is responsible for attracting the right CEO and setting appropriate remuneration. A substantial proportion of annual remuneration should be provided as shares that are locked in for five to ten years, regardless of resignation or retirement. The board should provide transparency on total remuneration to avoid unacceptable outcomes. The board should ensure that all benefits have a clear business rationale. Pensionable income should constitute a minor part of total remuneration.",G,,G
shopify inc,SHOP,Canada,2022-06-07 00:00:00,1634416,Annual/Special,3,Authorize New Class of Common Stock and Issuance of Such Founder Share to the Founder and Chief Executive Officer,Management,For,Against,Position paper: Multiple share classes,"All shareholders should have the right to vote on fundamental corporate decisions, and voting rights should be proportionate to cash flow rights. Any unequal voting rights should be time-limited and aligned with cash flow rights over time.",G,,G
centene corp,CNC,United States,2025-05-13 00:00:00,1946481,Annual,5,Report on Efforts to Reduce GHG Emissions in Alignment with Paris Agreement Goal,Shareholder,Against,For,Position paper: Corporate sustainability reporting,"The board should account for material sustainability risks facing the company, and the broader environmental and social consequences of its operations and products. Sustainability disclosures should be aligned with applicable global reporting standards and frameworks to support investors in their analysis of risks and opportunities. Where a company’s disclosure does not meet our needs as a financial investor, we will consider supporting a well-founded shareholder proposal calling for reasonable disclosure. We will not support a shareholder proposal that appears to impose a strategy or prescribe detailed methods, unrealistic timeframes or targets for implementation.",ESG_mixed,E,E
centene corp,CNC,United States,2024-05-14 00:00:00,1841559,Annual,4,Adopt Near and Long-Term Science-Based GHG Emissions Reduction Targets Aligned with Paris Agreement Goal,Shareholder,Against,For,Position paper: Corporate sustainability reporting,"The board should account for material sustainability risks facing the company, and the broader environmental and social consequences of its operations and products. Sustainability disclosures should be aligned with applicable global reporting standards and frameworks to support investors in their analysis of risks and opportunities. Where a company’s disclosure does not meet our needs as a financial investor, we will consider supporting a well-founded shareholder proposal calling for reasonable disclosure. We will not support a shareholder proposal that appears to impose a strategy or prescribe detailed methods, unrealistic timeframes or targets for implementation.",ESG_mixed,E,E
centene corp,CNC,United States,2022-04-26 00:00:00,1619603,Annual,2,Advisory Vote to Ratify Named Executive Officers' Compensation,Management,For,Against,Position paper: CEO remuneration,"The board is responsible for attracting the right CEO and setting appropriate remuneration. A substantial proportion of annual remuneration should be provided as shares that are locked in for five to ten years, regardless of resignation or retirement. The board should provide transparency on total remuneration to avoid unacceptable outcomes. The board should ensure that all benefits have a clear business rationale. Pensionable income should constitute a minor part of total remuneration.",G,,G
centene corp,CNC,United States,2020-04-28 00:00:00,1407762,Annual,1a,Elect Director Michael F. Neidorff,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
centene corp,CNC,United States,2020-04-28 00:00:00,1407762,Annual,5,Report on Political Contributions Disclosure,Shareholder,Against,For,Position paper: Corporate sustainability reporting,"The board should account for material sustainability risks facing the company, and the broader environmental and social consequences of its operations and products. Sustainability disclosures should be aligned with applicable global reporting standards and frameworks to support investors in their analysis of risks and opportunities. Where a company’s disclosure does not meet our needs as a financial investor, we will consider supporting a well-founded shareholder proposal calling for reasonable disclosure. We will not support a shareholder proposal that appears to impose a strategy or prescribe detailed methods, unrealistic timeframes or targets for implementation.",ESG_mixed,G,G
centene corp,CNC,United States,2020-04-28 00:00:00,1407762,Annual,6,Eliminate Supermajority Vote Requirement,Shareholder,Against,For,,"Anti-takeover measures are generally not in the interest of shareholders, and the introduction of such measures should, at a minimum, be subject to shareholder approval. We define anti-takeover measures to include any mechanism likely to deter or frustrate takeovers.",,ESG_ambiguous,ESG_ambiguous
sempra,SRE,United States,2025-05-13 00:00:00,1947311,Annual,1e,Elect Director Jeffrey W. Martin,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
sempra,SRE,United States,2024-05-09 00:00:00,1838692,Annual,1d,Elect Director Jeffrey W. Martin,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
